id_faixa,id_artista
4fn6F76onmDGzhqbltDRbi,1RoerHIsbQo1h0V8KpznKV
4fn6F76onmDGzhqbltDRbi,01JSyuJJh1WCHIuM3Zx7hn
4fn6F76onmDGzhqbltDRbi,0AWmEctf5aGzb4Nzdw9rHD
3rFY4euV0vXgU5HPxgmsfm,1RoerHIsbQo1h0V8KpznKV
3rFY4euV0vXgU5HPxgmsfm,30xbre7p79LCHfEVL30V28
3bmgoE9R3dgOeOffKt5OC7,1RoerHIsbQo1h0V8KpznKV
3bmgoE9R3dgOeOffKt5OC7,3YQp5W4RR8sMhWnRlmgruw
3bmgoE9R3dgOeOffKt5OC7,3Sleq8B8NkTCvl1ZoUDevo
0IKa3hGqzh4hX15kpwdrlH,1RoerHIsbQo1h0V8KpznKV
0IKa3hGqzh4hX15kpwdrlH,30xbre7p79LCHfEVL30V28
0IKa3hGqzh4hX15kpwdrlH,0AWmEctf5aGzb4Nzdw9rHD
0IKa3hGqzh4hX15kpwdrlH,2Dm1a25XBbZ2WRyx04KGRG
3t56RGpnNs7DeI4yeIuw4i,1RoerHIsbQo1h0V8KpznKV
3t56RGpnNs7DeI4yeIuw4i,6zA1Us7yWyCj4OXxkgAuqC
0Pa8CEKzNTBY0E3dC8DDGd,1RoerHIsbQo1h0V8KpznKV
0Pa8CEKzNTBY0E3dC8DDGd,3Sleq8B8NkTCvl1ZoUDevo
0Pa8CEKzNTBY0E3dC8DDGd,6vtzYhjkFNNnKca9BzC3Tc
5fBmzByZUWTtww3UP0DTAj,1RoerHIsbQo1h0V8KpznKV
5fBmzByZUWTtww3UP0DTAj,3YQp5W4RR8sMhWnRlmgruw
5fBmzByZUWTtww3UP0DTAj,1DqgCN78k7Xnev1x7eJfGc
45VFhoc3cSxePx94cYbd47,1RoerHIsbQo1h0V8KpznKV
45VFhoc3cSxePx94cYbd47,5tevA98mEA8sgH93W3PxE1
45VFhoc3cSxePx94cYbd47,01JSyuJJh1WCHIuM3Zx7hn
45VFhoc3cSxePx94cYbd47,6vtzYhjkFNNnKca9BzC3Tc
6v4Ht6CNT81OwMNdsuh7me,1RoerHIsbQo1h0V8KpznKV
6v4Ht6CNT81OwMNdsuh7me,6vtzYhjkFNNnKca9BzC3Tc
6v4Ht6CNT81OwMNdsuh7me,1QxjW1H0yTL1SZTSS4ZCED
6v4Ht6CNT81OwMNdsuh7me,1DqgCN78k7Xnev1x7eJfGc
6v4Ht6CNT81OwMNdsuh7me,0AWmEctf5aGzb4Nzdw9rHD
0flwz8OPqe3R6r8i2HedNK,1RoerHIsbQo1h0V8KpznKV
