id_faixa,id_artista
3eP13S8D5m2cweMEg3ZDed,3TVXtAsR1Inumwj472S9r4
0Mrnt1YqVuW2bqmwu4VxDt,3TVXtAsR1Inumwj472S9r4
0Mrnt1YqVuW2bqmwu4VxDt,0fGcIStdT1OpFFhOC7Wp36
2nibvvDdAQkVraYP00z2RS,3TVXtAsR1Inumwj472S9r4
2nibvvDdAQkVraYP00z2RS,1URnnhqYAYcrqrcwql10ft
53KaP77tkliz36LPxWGlWK,3TVXtAsR1Inumwj472S9r4
4ZT0wGKwlJRjpMUuwZVy3p,3TVXtAsR1Inumwj472S9r4
7aqfrAY2p9BUSiupwk3svU,3TVXtAsR1Inumwj472S9r4
7aqfrAY2p9BUSiupwk3svU,6l3HvQ5sa6mXTsMTB19rO5
2YSzYUF3jWqb9YP9VXmpjE,3TVXtAsR1Inumwj472S9r4
2YSzYUF3jWqb9YP9VXmpjE,3qiHUAX7zY4Qnjx8TNUzVx
1GpWY5RiInhezB8wGWs6oN,3TVXtAsR1Inumwj472S9r4
0AYt6NMyyLd0rLuvr0UkMH,3TVXtAsR1Inumwj472S9r4
0AYt6NMyyLd0rLuvr0UkMH,7tYKF4w9nC0nq9CsPZTHyP
3JZjcKImHcmOI9ylL4zrSc,3TVXtAsR1Inumwj472S9r4
3IHt4j5uAEl7iBu8Utn985,3TVXtAsR1Inumwj472S9r4
0ArVfVP8B5svkfj8clHNzB,3TVXtAsR1Inumwj472S9r4
03rwnftfgpYVO6QDWOZcG6,3TVXtAsR1Inumwj472S9r4
24FUBxaAYSBlWsbSnEzDcn,3TVXtAsR1Inumwj472S9r4
24FUBxaAYSBlWsbSnEzDcn,2HPaUgqeutzr3jx5a9WyDV
1DAibqbopEYULPEtE8WHTE,3TVXtAsR1Inumwj472S9r4
1PIgY9ybyFT9uWLM5POYGY,3TVXtAsR1Inumwj472S9r4
1PIgY9ybyFT9uWLM5POYGY,15iVAtD3s3FsQR4w1v6M0P
0w3Mfe4PIVjuFjJbe3OlYv,3TVXtAsR1Inumwj472S9r4
1mjAD7IYvI5UGiB7WnppMf,3TVXtAsR1Inumwj472S9r4
6ZprqcYFC6D9eIZaCoqrSn,3TVXtAsR1Inumwj472S9r4
6ZprqcYFC6D9eIZaCoqrSn,4q3ewBCX7sLwd24euuV69X
1yeB8MUNeLo9Ek1UEpsyz6,3TVXtAsR1Inumwj472S9r4
1yeB8MUNeLo9Ek1UEpsyz6,3DbwFQlvLxRSi2uX8mf81A
1yeB8MUNeLo9Ek1UEpsyz6,7tYKF4w9nC0nq9CsPZTHyP
17IBDpAl3J39swaoPlfGpp,3TVXtAsR1Inumwj472S9r4
17IBDpAl3J39swaoPlfGpp,6icQOAFXDZKsumw3YXyusw
4IcbUXrAzBtn6iUO1LP471,3TVXtAsR1Inumwj472S9r4
3oZZfVvLJuDYc4Vn3A63Fw,3TVXtAsR1Inumwj472S9r4
