id_faixa,id_artista
3pTiM9SFs9fMCTgDHBJtMH,4byypTzEl6KXXo34lETP2P
3pTiM9SFs9fMCTgDHBJtMH,4YgGAofWf2S64SvMbRQdb1
2WenrxqY8sfLCb47fPilB3,4byypTzEl6KXXo34lETP2P
2WenrxqY8sfLCb47fPilB3,4YgGAofWf2S64SvMbRQdb1
2wfJypAXWWZT3v9f3bfCCc,4byypTzEl6KXXo34lETP2P
2wfJypAXWWZT3v9f3bfCCc,4YgGAofWf2S64SvMbRQdb1
6cU7wYGJEWBSAU2KUyEUQt,4byypTzEl6KXXo34lETP2P
6cU7wYGJEWBSAU2KUyEUQt,4YgGAofWf2S64SvMbRQdb1
4yAfWP0WD48LrXHb7ATGyq,4byypTzEl6KXXo34lETP2P
4yAfWP0WD48LrXHb7ATGyq,4YgGAofWf2S64SvMbRQdb1
4yAfWP0WD48LrXHb7ATGyq,1V0m0DHoC5Lx3rUY7BbhFr
1Nci4CyOxC60ldYwPjTk1R,4byypTzEl6KXXo34lETP2P
1Nci4CyOxC60ldYwPjTk1R,4YgGAofWf2S64SvMbRQdb1
01gWoawcGNNdAZ4WhSAb59,4byypTzEl6KXXo34lETP2P
01gWoawcGNNdAZ4WhSAb59,4YgGAofWf2S64SvMbRQdb1
5eNqPF16ho6qTCz1wtRK6o,4byypTzEl6KXXo34lETP2P
5eNqPF16ho6qTCz1wtRK6o,4YgGAofWf2S64SvMbRQdb1
