id_faixa,id_artista
34hLy0hAt38guPjuCHPTYl,4byypTzEl6KXXo34lETP2P
0EckHx4mBNUaA1jEWRQ27l,4byypTzEl6KXXo34lETP2P
6vVjaNBMmnZZs3HkttMcmT,4byypTzEl6KXXo34lETP2P
5fVqGFxw4OBpGeC8CHTnf3,4byypTzEl6KXXo34lETP2P
5fVqGFxw4OBpGeC8CHTnf3,5Kf5Cy0KM0N6USYbLizKB2
4ccHhT8xQX5YoMkZewb829,4byypTzEl6KXXo34lETP2P
7Mke6dfHoA1f1DJaQFMvid,4byypTzEl6KXXo34lETP2P
1JFbSoYK1gUZ3mZrYXCLUp,4byypTzEl6KXXo34lETP2P
3eyjdeYct36YoRRCNoJtWS,4byypTzEl6KXXo34lETP2P
6s5FZURH14JvOkp8ArmZU2,4byypTzEl6KXXo34lETP2P
5V2RSsZytbOsuTzZFYcft2,4byypTzEl6KXXo34lETP2P
5V2RSsZytbOsuTzZFYcft2,51xgD8dd9nty0aGK0SatX9
5V2RSsZytbOsuTzZFYcft2,5FK5T4mGxkfedPwBdFnw1X
4L9TDPatdbs994AFb09c9G,4byypTzEl6KXXo34lETP2P
3bSF0N5YAEx7VpkAmBhNcj,4byypTzEl6KXXo34lETP2P
0BoW84mmhFuYrTxAdH8whR,4byypTzEl6KXXo34lETP2P
