id_faixa,id_artista
5RkLziWH49zwhmc9gAqWx7,4KgE1hgkCQ2hN8TB6rM94G
5RkLziWH49zwhmc9gAqWx7,7nS2LpZnF28MPBWvRcH2ty
5O7F00AkeRRYhdvr9ZwzNF,4KgE1hgkCQ2hN8TB6rM94G
5O7F00AkeRRYhdvr9ZwzNF,6XQrv3AiNUS61JFK1VITTU
0kMbVxfU2Wh02337pC54Ap,4KgE1hgkCQ2hN8TB6rM94G
3TKsA1I44XjHSHKvuEcFyr,4KgE1hgkCQ2hN8TB6rM94G
3TKsA1I44XjHSHKvuEcFyr,3zRsSdPeUYBcjWXlX2HXVW
4DYgMau8xWLdmniDabOcuO,4KgE1hgkCQ2hN8TB6rM94G
07LseRQRWlhpFJZYfxD6ah,4KgE1hgkCQ2hN8TB6rM94G
22D66cCAsPoJY64UZ7TCQU,4KgE1hgkCQ2hN8TB6rM94G
22D66cCAsPoJY64UZ7TCQU,53sZCFd0w818exdpBzc72P
0dRTky3VkbWLbvNMAr2bB6,4KgE1hgkCQ2hN8TB6rM94G
0vu384M59D5k5RbGIkwCrl,4KgE1hgkCQ2hN8TB6rM94G
0vu384M59D5k5RbGIkwCrl,0V1xZUTLgEuK6eW3vvLsN3
3G30JsnV9idJQbWRxgLxlB,4KgE1hgkCQ2hN8TB6rM94G
