id_faixa,id_artista
3xoMdEwMLpgpwi1CiNX8up,3UD5S1SrDQo3KPTfWxL7Ms
3xoMdEwMLpgpwi1CiNX8up,3skj2KZCvizGrCwYD03ApC
12JSGmOQ4SzcMdHd1DbgsB,3UD5S1SrDQo3KPTfWxL7Ms
12JSGmOQ4SzcMdHd1DbgsB,3skj2KZCvizGrCwYD03ApC
7u2WeTFHfOFJIPekzWxr6j,3UD5S1SrDQo3KPTfWxL7Ms
7u2WeTFHfOFJIPekzWxr6j,3skj2KZCvizGrCwYD03ApC
101Si3r1bmuoVXB9lrahi2,3UD5S1SrDQo3KPTfWxL7Ms
101Si3r1bmuoVXB9lrahi2,3skj2KZCvizGrCwYD03ApC
3rUsvqf9UpmW960M93MoI7,3UD5S1SrDQo3KPTfWxL7Ms
3rUsvqf9UpmW960M93MoI7,3skj2KZCvizGrCwYD03ApC
4GUVJ069FR2mAFBSnnlIxj,3UD5S1SrDQo3KPTfWxL7Ms
4GUVJ069FR2mAFBSnnlIxj,3skj2KZCvizGrCwYD03ApC
2XTbDJyAwU52BanSX8tdv2,3UD5S1SrDQo3KPTfWxL7Ms
2XTbDJyAwU52BanSX8tdv2,3skj2KZCvizGrCwYD03ApC
7BKeQFMumOEiDGgl95xz3e,3UD5S1SrDQo3KPTfWxL7Ms
7BKeQFMumOEiDGgl95xz3e,3skj2KZCvizGrCwYD03ApC
3imDDgWBmiYeKNNptvgifi,3UD5S1SrDQo3KPTfWxL7Ms
3imDDgWBmiYeKNNptvgifi,3skj2KZCvizGrCwYD03ApC
058lZue7r6QaAjSomLqnYg,3UD5S1SrDQo3KPTfWxL7Ms
058lZue7r6QaAjSomLqnYg,31ZnPMG6ywDdaBMnn1qkpN
058lZue7r6QaAjSomLqnYg,3skj2KZCvizGrCwYD03ApC
