id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
7DrFVne1osDbEC78S2AGQA,083NpzlPOa5Q2mWOEkEaGw,1,Conceito (de Rua),252373,track
5JcsGOCM9dYG798WBz1liH,083NpzlPOa5Q2mWOEkEaGw,2,Não Pode,264874,track
2q0k16fKNtp8G2z9qKFVlb,083NpzlPOa5Q2mWOEkEaGw,3,Todo Dia,242026,track
0hGpMDPJ5zUshil7eHW9By,083NpzlPOa5Q2mWOEkEaGw,4,A Busca,202869,track
2wC1oh2ag0oBcdSSqheGx8,083NpzlPOa5Q2mWOEkEaGw,5,Tão Real,255274,track
5TlK8KkKi36wHn6UjUoiXQ,083NpzlPOa5Q2mWOEkEaGw,6,Superpoder,197493,track
3VD30JipLiAF5AAvjfzn3V,083NpzlPOa5Q2mWOEkEaGw,7,SSNS,276000,track
2CgwLuJXrSf7TL4XK04Yv0,083NpzlPOa5Q2mWOEkEaGw,8,Bem Loko,312000,track
0KQuUKlvRnCaEzVUVhb5HK,083NpzlPOa5Q2mWOEkEaGw,9,Apavôru,181712,track
3PkUvpDnKBjOR11CTAD607,083NpzlPOa5Q2mWOEkEaGw,10,Sobrou Silêncio (feat. DUDA BEAT),192717,track
4RCBef9UPSUEXpVTLB0Itd,083NpzlPOa5Q2mWOEkEaGw,11,Carrossel,159061,track
0Mxl0RvE1fb1g7vlb7x1Gx,083NpzlPOa5Q2mWOEkEaGw,12,Um Mundo de Cada Vez,331915,track
02N5bXL7AZT5mCEhFwx673,083NpzlPOa5Q2mWOEkEaGw,13,V-I-S-Ã-O,209820,track
7mAgXksiLGvdmXSQfd0nwh,083NpzlPOa5Q2mWOEkEaGw,14,Blindado,248727,track
3oqC4Ta40ft6NnTJwcUTdi,083NpzlPOa5Q2mWOEkEaGw,15,Pipa Voada (feat. Emicida),185333,track
3xF4D5CH0PvI5UJwA261Si,083NpzlPOa5Q2mWOEkEaGw,16,Meu Amigo Tempo,195000,track
3cDLHS0s41HTWnhv8GhuJZ,083NpzlPOa5Q2mWOEkEaGw,17,Casca,185196,track
540hxebLj7w5EHhVx0lUUv,083NpzlPOa5Q2mWOEkEaGw,18,Eu,297000,track
