id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
4fn6F76onmDGzhqbltDRbi,0whPMf7IlDh0fRufgqQ37h,1,O Tempo é Tudo Que Eu Não Posso Perder,178500,track
3rFY4euV0vXgU5HPxgmsfm,0whPMf7IlDh0fRufgqQ37h,2,Amante do Ritmo,226178,track
3bmgoE9R3dgOeOffKt5OC7,0whPMf7IlDh0fRufgqQ37h,3,LiBRE!,173142,track
0IKa3hGqzh4hX15kpwdrlH,0whPMf7IlDh0fRufgqQ37h,4,"Com Amor, Com Dinheiro",207580,track
3t56RGpnNs7DeI4yeIuw4i,0whPMf7IlDh0fRufgqQ37h,5,Vai Saber!,180116,track
0Pa8CEKzNTBY0E3dC8DDGd,0whPMf7IlDh0fRufgqQ37h,6,GANA 2,180901,track
5fBmzByZUWTtww3UP0DTAj,0whPMf7IlDh0fRufgqQ37h,7,Dois Continentes (Ao Alcance das Mãos),204924,track
45VFhoc3cSxePx94cYbd47,0whPMf7IlDh0fRufgqQ37h,8,Flor de Alcaçúz,174732,track
6v4Ht6CNT81OwMNdsuh7me,0whPMf7IlDh0fRufgqQ37h,9,Todo Lugar Tem Um Jovem,260290,track
0flwz8OPqe3R6r8i2HedNK,0whPMf7IlDh0fRufgqQ37h,10,Cent'anni,227357,track
