id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
4G3kLyHp4335rXLzaoTmVu,1OEj74ygMvQHFyypp3COpw,1,A Ordem Natural das Coisas / Chiclete com Banana - Ao Vivo,340080,track
4H4eSq6Z17gKau4TEUTO5q,1OEj74ygMvQHFyypp3COpw,2,Quem Tem Um Amigo (Tem Tudo) / A Amizade - Ao Vivo,371466,track
60BlYccaElm1d5I48Oye8o,1OEj74ygMvQHFyypp3COpw,3,Pequenas Alegrias da Vida Adulta - Ao Vivo,245666,track
1wwaBlwBUJItNwrb4Wswfm,1OEj74ygMvQHFyypp3COpw,4,"Cananéia, Iguape e Ilha Comprida - Ao Vivo",264080,track
7hTaCKO2OhWxkBsFd0w4I6,1OEj74ygMvQHFyypp3COpw,5,Baiana - Ao Vivo,249466,track
4E7hEB7SeNDmLBE2mxIrri,1OEj74ygMvQHFyypp3COpw,6,Madagascar - Ao Vivo,146266,track
148Qd4GVoZ3b4yLji6s7s3,1OEj74ygMvQHFyypp3COpw,7,Alma Gêmea - Ao Vivo,152106,track
5OR3l3lAJBgkQb0viiYjKJ,1OEj74ygMvQHFyypp3COpw,8,9nha / Eu Gosto Dela - Ao Vivo,305213,track
2Im6zORJEFq0VPWiebuolE,1OEj74ygMvQHFyypp3COpw,9,Paisagem - Ao Vivo,192613,track
0i6oRBCnSFzXgdSzqjqzh7,1OEj74ygMvQHFyypp3COpw,10,Hoje Cedo - Ao Vivo,224320,track
7EMNOr4AZYSpSSkc8pGtzI,1OEj74ygMvQHFyypp3COpw,11,AmarElo (Sample: Sujeito de Sorte - Belchior) - Ao Vivo,338250,track
0adfM8oyBUyxZMjit98HPn,1OEj74ygMvQHFyypp3COpw,12,Eminência Parda - Ao Vivo,244028,track
02jQNS4iRXMiUcjrob4yVP,1OEj74ygMvQHFyypp3COpw,13,Pantera Negra - Ao Vivo,191933,track
1cgKRr5mhWX5mBZJ6rNhML,1OEj74ygMvQHFyypp3COpw,14,Boa Esperança - Ao Vivo,210787,track
6Gko31JUTU40o41vBgymzh,1OEj74ygMvQHFyypp3COpw,15,Ismália - Ao Vivo,399318,track
4TneHhRpotXBrUZkxyw5Az,1OEj74ygMvQHFyypp3COpw,16,Levanta e Anda - Ao Vivo,188421,track
4qFliZbsCTWYEpL75Vw3RO,1OEj74ygMvQHFyypp3COpw,17,Gueto - Ao Vivo,193954,track
0wwuQ08af73yA7lgIFuKv8,1OEj74ygMvQHFyypp3COpw,18,A Chapa é Quente - Ao Vivo,232573,track
3MZJxVEUot8fwVar76gURW,1OEj74ygMvQHFyypp3COpw,19,Libre - Ao Vivo,185236,track
0pfNk7XtQWNNx6Otu34lXl,1OEj74ygMvQHFyypp3COpw,20,Principia - Ao Vivo,517110,track
