id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
2BwO5K8Q7EPAJSGze3AAh9,1aqg30bNvLSWgShZgX4oop,1,Manchild,213645,track
42VUCXerQ5qTr4Qp6PhKo4,1aqg30bNvLSWgShZgX4oop,2,Tears,160183,track
3EMfeKtNK4q4k3sVjwg5Yy,1aqg30bNvLSWgShZgX4oop,3,My Man on Willpower,197817,track
5B3GZOZYXNzWpUXQC42hxZ,1aqg30bNvLSWgShZgX4oop,4,Sugar Talking,183770,track
6wkYQMrFfb0huLB5Qn19Iv,1aqg30bNvLSWgShZgX4oop,5,We Almost Broke Up Again Last Night,203378,track
4SRShYMtFIGgnOU7iBicMH,1aqg30bNvLSWgShZgX4oop,6,Nobody’s Son,182576,track
1PdUyYYw9sGU0yhLrpeHKt,1aqg30bNvLSWgShZgX4oop,7,Never Getting Laid,208211,track
0je57Uq5eTk1wrPzn9sWbl,1aqg30bNvLSWgShZgX4oop,8,When Did You Get Hot?,145398,track
1qyw5wSUkEvH8DtaCdx7Lg,1aqg30bNvLSWgShZgX4oop,9,Go Go Juice,193315,track
21IVPfi81m6ywNgOvqTj1i,1aqg30bNvLSWgShZgX4oop,10,Don’t Worry I’ll Make You Worry,222320,track
25jgQBxuUkGDdCG1WGKKN9,1aqg30bNvLSWgShZgX4oop,11,House Tour,169214,track
4tVVmShMF2PYdLqcejrsy2,1aqg30bNvLSWgShZgX4oop,12,Goodbye,225084,track
