id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
55u5QIlEuzCipJBtZPdJio,3kjHLu1pL7tdY88GFwEkl6,1,Renaissance,98152,track
7I3RalBqE7ZE0RSxgGlGlm,3kjHLu1pL7tdY88GFwEkl6,2,Habits,298384,track
59151GHN7yr5g9B3bqlGdR,3kjHLu1pL7tdY88GFwEkl6,3,Trouble,41487,track
77pfjsq0gSZwO8bYVTVROo,3kjHLu1pL7tdY88GFwEkl6,4,Brand New Dance,206649,track
21LCotDEwR7R8qOnqPVzi9,3kjHLu1pL7tdY88GFwEkl6,5,Evil,230358,track
7y8n4wbMzsLMzTI6Qan02f,3kjHLu1pL7tdY88GFwEkl6,6,All You Got - skit,24359,track
50No7LiVffAJCWIChZodmU,3kjHLu1pL7tdY88GFwEkl6,7,Lucifer,261758,track
0DIcssPpatAMqFXLZCxZMN,3kjHLu1pL7tdY88GFwEkl6,8,Antichrist,314226,track
5In8B6Om5OKrhwBMB4tXSi,3kjHLu1pL7tdY88GFwEkl6,9,Fuel,213646,track
0bBnrokPXtfwXQarqCu1Gz,3kjHLu1pL7tdY88GFwEkl6,10,Road Rage,217736,track
1CDQzbCz4KSQxHe7LMEgRM,3kjHLu1pL7tdY88GFwEkl6,11,Houdini,227032,track
0TDXeyH0hdiz0SZQo5w1nm,3kjHLu1pL7tdY88GFwEkl6,12,Breaking News - skit,37314,track
3LkXOTWDwskwciQoARFDzu,3kjHLu1pL7tdY88GFwEkl6,13,Guilty Conscience 2,325531,track
7GXOXYdU950eRvk5rUAE8F,3kjHLu1pL7tdY88GFwEkl6,14,Head Honcho,234836,track
6uMGHQvhZq8YyT4kdnG1L3,3kjHLu1pL7tdY88GFwEkl6,15,Temporary,297667,track
15qnOSRK5HMWOgL5HURhrc,3kjHLu1pL7tdY88GFwEkl6,16,Bad One,270006,track
1ymWIr4E5x6xORlDO0bXlP,3kjHLu1pL7tdY88GFwEkl6,17,Tobey (feat. Big Sean and BabyTron),284903,track
0cyN7uQYxTlqwgyh6rm1IH,3kjHLu1pL7tdY88GFwEkl6,18,Guess Who’s Back - skit,62868,track
4HMUrFl8y6rQCzEbaGEkcj,3kjHLu1pL7tdY88GFwEkl6,19,Somebody Save Me,230199,track
