id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
1mE5X5sqO2g5XAeCvit6vW,4b8qEsqVND9sgoSFhPUELJ,1,CARO,308000,track
7blhB9LmqGlZxexZzaO8SL,4b8qEsqVND9sgoSFhPUELJ,2,para Kendrick e Kanye,162512,track
1HUyauvCUwwjZUHmbLjxZB,4b8qEsqVND9sgoSFhPUELJ,3,aFF Maria,228277,track
2QSQJudDeUcQaZEeUt1Ot3,4b8qEsqVND9sgoSFhPUELJ,4,pimpei seu Estilo,189188,track
094GGI5rNCfXO8TmWBVE58,4b8qEsqVND9sgoSFhPUELJ,5,BOSSa,318275,track
2ScGItZDMtPB0Hx4mOr42y,4b8qEsqVND9sgoSFhPUELJ,6,tristeza Não,215127,track
74ZZCnIZETJKxU4poj7vtB,4b8qEsqVND9sgoSFhPUELJ,7,saudade do Mar,268800,track
0MYsxOkKdML01Pnq4P2TVO,4b8qEsqVND9sgoSFhPUELJ,8,Iminência Parda,262554,track
3EFpN8qKWsbXmhff7tCial,4b8qEsqVND9sgoSFhPUELJ,9,iMigrante,182309,track
07FTaEdKjySDVWRsExIxkv,4b8qEsqVND9sgoSFhPUELJ,10,BANdido,178423,track
3rVMq9q6MVqMlhceKRgU4M,4b8qEsqVND9sgoSFhPUELJ,11,dias de verão,177776,track
12aT0KkmSrVQjM2rlwERjN,4b8qEsqVND9sgoSFhPUELJ,12,Venci na vida,218066,track
1Rjk7SrwusOq9HaFvV9qBj,4b8qEsqVND9sgoSFhPUELJ,13,mar da ARgélia,260000,track
0pwMzENrZz6twPDVFVhpta,4b8qEsqVND9sgoSFhPUELJ,14,melhor Vida,183147,track
1HDjVFhRPieSbpfrtJrycY,4b8qEsqVND9sgoSFhPUELJ,15,tudo é Simulação/Conflito,169000,track
