id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
3eP13S8D5m2cweMEg3ZDed,4czdORdCWP9umpbhFXK2fW,1,Virginia Beach,251094,track
0Mrnt1YqVuW2bqmwu4VxDt,4czdORdCWP9umpbhFXK2fW,2,Amen (feat. Teezo Touchdown),141212,track
2nibvvDdAQkVraYP00z2RS,4czdORdCWP9umpbhFXK2fW,3,Calling For You (feat. 21 Savage),285630,track
53KaP77tkliz36LPxWGlWK,4czdORdCWP9umpbhFXK2fW,4,Fear Of Heights,155154,track
4ZT0wGKwlJRjpMUuwZVy3p,4czdORdCWP9umpbhFXK2fW,5,Daylight,164142,track
7aqfrAY2p9BUSiupwk3svU,4czdORdCWP9umpbhFXK2fW,6,First Person Shooter (feat. J. Cole),247444,track
2YSzYUF3jWqb9YP9VXmpjE,4czdORdCWP9umpbhFXK2fW,7,IDGAF (feat. Yeat),260111,track
1GpWY5RiInhezB8wGWs6oN,4czdORdCWP9umpbhFXK2fW,8,7969 Santa,259846,track
0AYt6NMyyLd0rLuvr0UkMH,4czdORdCWP9umpbhFXK2fW,9,Slime You Out (feat. SZA),310490,track
3JZjcKImHcmOI9ylL4zrSc,4czdORdCWP9umpbhFXK2fW,10,Bahamas Promises,184089,track
3IHt4j5uAEl7iBu8Utn985,4czdORdCWP9umpbhFXK2fW,11,Tried Our Best,209990,track
0ArVfVP8B5svkfj8clHNzB,4czdORdCWP9umpbhFXK2fW,12,Screw The World - Interlude,112093,track
03rwnftfgpYVO6QDWOZcG6,4czdORdCWP9umpbhFXK2fW,13,Drew A Picasso,262768,track
24FUBxaAYSBlWsbSnEzDcn,4czdORdCWP9umpbhFXK2fW,14,Members Only (feat. PARTYNEXTDOOR),277720,track
1DAibqbopEYULPEtE8WHTE,4czdORdCWP9umpbhFXK2fW,15,What Would Pluto Do,182998,track
1PIgY9ybyFT9uWLM5POYGY,4czdORdCWP9umpbhFXK2fW,16,All The Parties (feat. Chief Keef),218611,track
0w3Mfe4PIVjuFjJbe3OlYv,4czdORdCWP9umpbhFXK2fW,17,8am in Charlotte,266847,track
1mjAD7IYvI5UGiB7WnppMf,4czdORdCWP9umpbhFXK2fW,18,BBL Love - Interlude,161363,track
6ZprqcYFC6D9eIZaCoqrSn,4czdORdCWP9umpbhFXK2fW,19,Gently (feat. Bad Bunny),133694,track
1yeB8MUNeLo9Ek1UEpsyz6,4czdORdCWP9umpbhFXK2fW,20,Rich Baby Daddy (feat. Sexyy Red & SZA),319191,track
17IBDpAl3J39swaoPlfGpp,4czdORdCWP9umpbhFXK2fW,21,Another Late Night (feat. Lil Yachty),170414,track
4IcbUXrAzBtn6iUO1LP471,4czdORdCWP9umpbhFXK2fW,22,Away From Home,258592,track
3oZZfVvLJuDYc4Vn3A63Fw,4czdORdCWP9umpbhFXK2fW,23,Polar Opposites,257180,track
