id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
6rwAC9JAN7BMO6tLR61y9X,4nj991HPkSVfoyNYqI5Sgu,1,Que Assim Seja,206053,track
63g4tLM1priHgH8eqUJSpP,4nj991HPkSVfoyNYqI5Sgu,2,Quero Ver Segurar,200678,track
0o7iOR76RQFAuYXdV3SSWn,4nj991HPkSVfoyNYqI5Sgu,3,R.A.P,188267,track
6l2uxRdJlFemV568Cg0vaQ,4nj991HPkSVfoyNYqI5Sgu,4,Falou,243112,track
1fc5S9LPWoTpkYlsIhdZC7,4nj991HPkSVfoyNYqI5Sgu,5,Rolê de Kadet,185333,track
0mNDc9Oa5LoCf01I6HMTVY,4nj991HPkSVfoyNYqI5Sgu,6,Vai Virar,179977,track
3GwZKkWVuIGl2HPKIyLgbg,4nj991HPkSVfoyNYqI5Sgu,7,Primeira Classe,246382,track
4LjCtXKgAULdy9RV3mhXxO,4nj991HPkSVfoyNYqI5Sgu,8,Drama,310729,track
3vdie6zTrIKzflM0RsHHuy,4nj991HPkSVfoyNYqI5Sgu,9,Bom Dia Guerreiro,232362,track
5GTavkrnIWZmNXlFO8Qm7L,4nj991HPkSVfoyNYqI5Sgu,10,Tudo Ou Nada,265896,track
5qORxOi3cjwG4c7r7tvxu0,4nj991HPkSVfoyNYqI5Sgu,11,Quando Éramos Reis,178375,track
7AD8roGtItSkKEdIhEwxeE,4nj991HPkSVfoyNYqI5Sgu,12,Muito Mais,212833,track
3dPygQx0ohogo6TwFCiJR3,4nj991HPkSVfoyNYqI5Sgu,13,Eu Te Avisei,240176,track
52LLjUvonkXkuCI0FOLFet,4nj991HPkSVfoyNYqI5Sgu,14,Quando Eu Morrer (2008),239769,track
32UnVKQr3t3PQioD8R01Ep,4nj991HPkSVfoyNYqI5Sgu,15,Dama de Branco,187059,track
3RKeGmdb75j4hoxkUYvoZ9,4nj991HPkSVfoyNYqI5Sgu,16,Em Alguma Esquina,213077,track
4hQKjSf5fcCZYvE1Gu6jym,4nj991HPkSVfoyNYqI5Sgu,17,V de Vingança,160496,track
4vCzkSCoAuHO16cTvhBoH6,4nj991HPkSVfoyNYqI5Sgu,18,Diário de Bordo - Parte 2,223654,track
1JvW1HJ9IJqThvuuzWMgfB,4nj991HPkSVfoyNYqI5Sgu,19,Se o Mundo Acabar,277472,track
2bpO0aMPMd3WHqm4XDtwUR,4nj991HPkSVfoyNYqI5Sgu,20,Sua Força É Minha Força,300535,track
