id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
34hLy0hAt38guPjuCHPTYl,5yNfC7mKzPRlvSqR3J2Jfq,1,Pragas urbanas,106985,track
0EckHx4mBNUaA1jEWRQ27l,5yNfC7mKzPRlvSqR3J2Jfq,2,Skit Fantasma das baratas,42298,track
6vVjaNBMmnZZs3HkttMcmT,5yNfC7mKzPRlvSqR3J2Jfq,3,Destrua essa cidade,138673,track
5fVqGFxw4OBpGeC8CHTnf3,5yNfC7mKzPRlvSqR3J2Jfq,4,"Cantar para conectar, para libertar desobedecer",191927,track
4ccHhT8xQX5YoMkZewb829,5yNfC7mKzPRlvSqR3J2Jfq,5,Luzes,170663,track
7Mke6dfHoA1f1DJaQFMvid,5yNfC7mKzPRlvSqR3J2Jfq,6,Zion,173293,track
1JFbSoYK1gUZ3mZrYXCLUp,5yNfC7mKzPRlvSqR3J2Jfq,7,Costa quente,187846,track
3eyjdeYct36YoRRCNoJtWS,5yNfC7mKzPRlvSqR3J2Jfq,8,Skit Controle de pragas,34086,track
6s5FZURH14JvOkp8ArmZU2,5yNfC7mKzPRlvSqR3J2Jfq,9,Los compadres e inimigos,153600,track
5V2RSsZytbOsuTzZFYcft2,5yNfC7mKzPRlvSqR3J2Jfq,10,Baixas,138663,track
4L9TDPatdbs994AFb09c9G,5yNfC7mKzPRlvSqR3J2Jfq,11,Nós não precisamos de mais problemas,161264,track
3bSF0N5YAEx7VpkAmBhNcj,5yNfC7mKzPRlvSqR3J2Jfq,12,Skit Bomba atômica,82120,track
0BoW84mmhFuYrTxAdH8whR,5yNfC7mKzPRlvSqR3J2Jfq,13,"Babilônia, seu trono enfim caiu",121456,track
