id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
1yd9Mlc245DotGLE79TNQU,75dG7VTeDqIntV3RIhH9hv,1,INTRO,28697,track
2Y9nU2NbwniWiuIbZpMFZl,75dG7VTeDqIntV3RIhH9hv,2,GUANABARA,128968,track
4PGLyFzXl05zHYkMbBO5Xs,75dG7VTeDqIntV3RIhH9hv,3,JAGUAR,169362,track
5jH3qyEBWZOnonL1Zhe3DU,75dG7VTeDqIntV3RIhH9hv,4,DINHEIRO,152366,track
02x3uCTOKRfEZegofcJzjL,75dG7VTeDqIntV3RIhH9hv,5,GUANABARA SKIT,30197,track
19dqgmqqd5h1yXIbSSdDhB,75dG7VTeDqIntV3RIhH9hv,6,DOIS MUNDOS,145181,track
5kHTdJgWgry2PryPpDHb51,75dG7VTeDqIntV3RIhH9hv,7,ANGOLA,182687,track
1wZTGYONA3jpvrfLInXzv9,75dG7VTeDqIntV3RIhH9hv,8,GAROTA TE QUERO,161123,track
1UKujcGPJaQEhynfpYHA7L,75dG7VTeDqIntV3RIhH9hv,9,PARDA,171645,track
5n2t9q5Z29RMdHB4oLLN7E,75dG7VTeDqIntV3RIhH9hv,10,SANTA MARTA,108387,track
5cwHJ2WhB4Hx1XlUcjYxCL,75dG7VTeDqIntV3RIhH9hv,11,CARBURADOR QUEIMADO,115806,track
5xTqJVup8KGhrm9pHozXGJ,75dG7VTeDqIntV3RIhH9hv,12,CHICAGO BULLS,184123,track
7M0L0FPJwxFXFS03Un8U61,75dG7VTeDqIntV3RIhH9hv,13,JOIAS,111634,track
5m2Vo9GKQh0K0uPvUqyRwL,75dG7VTeDqIntV3RIhH9hv,14,ANDARAÍ SKIT,18572,track
6lTJelTM1pVFOwy6R34NQU,75dG7VTeDqIntV3RIhH9hv,15,LARGAR MINHA MÃO,166507,track
5fht3AqK5ZyL0NllXbGqFi,75dG7VTeDqIntV3RIhH9hv,16,FINI,139408,track
0CKS7uK2ARPfQzXS94gmhA,75dG7VTeDqIntV3RIhH9hv,17,DOMINOS,166714,track
0zZH9x7KKEX3niX4ksZl2P,75dG7VTeDqIntV3RIhH9hv,18,SUA LINDA,148668,track
