id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
2kh78Yka2tkYOx3XF9DVpu,7GoZNNb7Yl74fpk8Z6I2cv,1,Kill Jay Z,178066,track
6JpN5w95em8SODPiM7W2PH,7GoZNNb7Yl74fpk8Z6I2cv,2,The Story of O.J.,231760,track
2tqoJQbv6dNNOi0PCCjuse,7GoZNNb7Yl74fpk8Z6I2cv,3,Smile,289853,track
71oM9w2BbJxzTpxzWIE0lw,7GoZNNb7Yl74fpk8Z6I2cv,4,Caught Their Eyes,206133,track
1gT5TGwbkkkUliNzHRIGi1,7GoZNNb7Yl74fpk8Z6I2cv,5,4:44,284493,track
6ku4gCfjdxmYpajNONAciN,7GoZNNb7Yl74fpk8Z6I2cv,6,Family Feud,251413,track
6Iuh3vNjpWhSeHM3RZgzQL,7GoZNNb7Yl74fpk8Z6I2cv,7,Bam,234973,track
39ukbGu3UVWs74ba83T68c,7GoZNNb7Yl74fpk8Z6I2cv,8,Moonlight,143986,track
5oynsOy80DnodTslgaj3cr,7GoZNNb7Yl74fpk8Z6I2cv,9,Marcy Me,174426,track
3p2O5DDqlWdaR1l4wsHn9R,7GoZNNb7Yl74fpk8Z6I2cv,10,Legacy,177133,track
