id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
5RkLziWH49zwhmc9gAqWx7,7b6D3zdYbbxSjfYJ7pKge9,1,Mágoa para Elefantes,224544,track
5O7F00AkeRRYhdvr9ZwzNF,7b6D3zdYbbxSjfYJ7pKge9,2,Vatomanocu,246408,track
0kMbVxfU2Wh02337pC54Ap,7b6D3zdYbbxSjfYJ7pKge9,3,Carteira de Habilitação,160512,track
3TKsA1I44XjHSHKvuEcFyr,7b6D3zdYbbxSjfYJ7pKge9,4,Eram os Deuses Astronautas,314232,track
4DYgMau8xWLdmniDabOcuO,7b6D3zdYbbxSjfYJ7pKge9,5,Resgate do Soldado Brownie,179928,track
07LseRQRWlhpFJZYfxD6ah,7b6D3zdYbbxSjfYJ7pKge9,6,Habeas Corpus,178824,track
22D66cCAsPoJY64UZ7TCQU,7b6D3zdYbbxSjfYJ7pKge9,7,Certidão de Óbito,280680,track
0dRTky3VkbWLbvNMAr2bB6,7b6D3zdYbbxSjfYJ7pKge9,8,Nada Consta,308640,track
0vu384M59D5k5RbGIkwCrl,7b6D3zdYbbxSjfYJ7pKge9,9,Carteira de Trabalho,234696,track
3G30JsnV9idJQbWRxgLxlB,7b6D3zdYbbxSjfYJ7pKge9,10,Registro de Identidade,278784,track
