id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
3xoMdEwMLpgpwi1CiNX8up,7hLXr1YD7DGY8c1A5zWPmo,1,De volta ao Básico,164122,track
12JSGmOQ4SzcMdHd1DbgsB,7hLXr1YD7DGY8c1A5zWPmo,2,Cacau,147769,track
7u2WeTFHfOFJIPekzWxr6j,7hLXr1YD7DGY8c1A5zWPmo,3,Tonelada,155744,track
101Si3r1bmuoVXB9lrahi2,7hLXr1YD7DGY8c1A5zWPmo,4,Borogodó,124800,track
3rUsvqf9UpmW960M93MoI7,7hLXr1YD7DGY8c1A5zWPmo,5,Labareda,147394,track
4GUVJ069FR2mAFBSnnlIxj,7hLXr1YD7DGY8c1A5zWPmo,6,Pivete,139272,track
2XTbDJyAwU52BanSX8tdv2,7hLXr1YD7DGY8c1A5zWPmo,7,Zig Zag,149634,track
7BKeQFMumOEiDGgl95xz3e,7hLXr1YD7DGY8c1A5zWPmo,8,Sutil 2,180478,track
3imDDgWBmiYeKNNptvgifi,7hLXr1YD7DGY8c1A5zWPmo,9,Saudade Veneno,200712,track
058lZue7r6QaAjSomLqnYg,7hLXr1YD7DGY8c1A5zWPmo,10,Medalhão,258001,track
